Company,Business Category,Main Sport Focus,Year Founded,Financials,Ownership Status,Ownership Details,Parent Company,Headquarters,Main Manufacturing,Environmental & Sustainability Policies,Acquisition History
Rainy Day Forge,Rainy Day Forge specializes in crafting ultralight knives designed for hikers and outdoor enthusiasts. ([garagegrowngear.com](https://www.garagegrowngear.com/en-jp/products/ultralightknife-by-rainy-day-forge)),Hiking,2019,Not Available,Private,"Rainy Day Forge, based in Manitoba, Canada, is owned and operated by Justin Lamoureux. ([rainydayforge.ca](https://rainydayforge.ca/))",Independent,"Manitoba, Canada","Rainy Day Forge manufactures hand-crafted knives in Manitoba, Canada. ([rainydayforge.com](https://www.rainydayforge.com/))",,No information is available regarding the acquisition history of Rainy Day Forge in the hiking industry.
Range,"The business category for hiking-related services is classified under NAICS Code 611620-08, titled ""Hiking Backpacking & Mountaineering Service,"" which involves providing professional guidance and training for hiking, backpacking, and mountaineering activities. ([siccode.com](https://siccode.com/extended-naics-code/611620-08/hiking-backpacking-mountaineerings-service))",Hiking,2020,Not Available,Private - Venture Backed,"The ""OWN THE RANGE"" trademark is owned by Vista Outdoor Operations LLC. ([trademarks.justia.com](https://trademarks.justia.com/879/80/own-the-87980928.html))",,,"Major manufacturers of hiking gear include Arc'teryx, Outdoor Research, Mammut Sports Group, Rab, Quechua, and Salomon Group.","I couldn't find specific information on the environmental and sustainability policies of a hiking company named ""Range."" However, ""The Range,"" a UK-based retailer, has implemented several environmental initiatives, including rewilding projects at 80 stores to support local wildlife, investing in eco-friendly vehicles to reduce carbon emissions, and incorporating energy-efficient measures in store infrastructures. ([therange.co.uk](https://www.therange.co.uk/corporate-information/environmental-sustainability/))","As of July 18, 2025, RingCentral Inc. (RNG) is trading at $26.67, with a slight increase of $0.095 (0.36%) from the previous close.

## Stock market information for RingCentral Inc. (RNG)
- RingCentral Inc. is a equity in the USA market.
- The price is 26.67 USD currently with a change of 0.09 USD (0.00%) from the previous close.
- The latest open price was 26.89 USD and the intraday volume is 1417756.
- The intraday high is 26.82 USD and the intraday low is 26.4 USD.
- The latest trade time is Friday, July 18, 20:30:00 UTC."
Rawlogy,"Rawlogy specializes in producing ultralight, eco-friendly cork massage balls designed for hikers and backpackers to aid in muscle recovery and self-care on the trail. ([backpackers.com](https://backpackers.com/blog/highlight-rawlogy/))",Hiking,2018,Not Available,Private,"Rawlogy is owned by its founder, Marek Bowers. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/magazine/rolling-out-muscles-self-care-backpacking-rawlogy-founder-marek-bowers?srsltid=AfmBOopmGBfXlFrl-FvKOuy5TuLzy7VAJgcQkRFn2y7ZrATNr4d5CmQ9&utm_source=openai))",Independent,"## [Rawlogy Headquarters](https://www.google.com/maps/search/Rawlogy%2C+10063+Riverside+Drive%2C+%232474%2C+Toluca+Lake%2C+CA+91602)


Rawlogy's headquarters are located in Toluca Lake, California. ([rawlogy.com](https://www.rawlogy.com/pages/contact))","Rawlogy, established in 2018 and based in Los Angeles, California, produces eco-friendly cork massage balls designed for hikers and backpackers. ([bootstrapadventure.com](https://bootstrapadventure.com/product-category/brand/page/5/)) These massage balls are made from 100% recycled cork, repurposed from wine corks, and are free from chemicals like BPA, plastics, PVC, and petroleum. ([backpackingroutes.com](https://backpackingroutes.com/10-small-backpacking-brands-support/))","Rawlogy demonstrates its commitment to environmental sustainability by producing massage balls made from recycled cork, thereby protecting cork forests and offering an eco-friendly alternative for muscle pain relief. ([amazon.com](https://www.amazon.com/Rawlogy-Original-Ultralight-Massage-Recovery/dp/B07K7XLSW7))",
RecPak,"RecPak operates in the outdoor nutrition industry, specializing in ultralight, nutritionally complete meal replacements designed for hikers and outdoor adventurers. ([outdoorindustry.org](https://outdoorindustry.org/press-release/recpak-partners-with-american-alpine-club-to-fuel-high-altitude-adventures/))",Hiking,2022,Not Available,Private,"RecPak is a veteran-owned company founded by Deed Ziegler, a former Marine Corps officer. ([collabs.io](https://www.collabs.io/mag/recpak/)) The trademark for RecPak is registered under North Window. ([trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/97238783/RECPAK))",Independent,"Red Hook, New York","RecPak is a veteran-owned company based in the USA, specializing in ultralight complete meal replacements for outdoor adventurers. ([outdoorindustry.org](https://outdoorindustry.org/press-release/recpak-partners-with-american-alpine-club-to-fuel-high-altitude-adventures/)) Specific information about their main manufacturing location is not publicly available.","RecPak is a member of 1% For The Planet, contributing a portion of its revenue to environmental causes. The company has partnered with organizations like Access Fund and the American Alpine Club to support conservation efforts and protect climbing areas. ([outdoorindustry.org](https://outdoorindustry.org/press-release/recpak-partners-with-access-fund-to-fuel-conservation-efforts-and-protect-americas-climbing-areas/), [outdoorindustry.org](https://outdoorindustry.org/press-release/recpak-partners-with-american-alpine-club-to-fuel-high-altitude-adventures/))",No acquisition history found for RecPak in the hiking industry.
Red Paw Packs,"Red Paw Packs specializes in ultralight backpacks and accessories for both humans and dogs, focusing on durable, customizable gear for hiking and backpacking. ([redpawpacks.com](https://redpawpacks.com/))",Hiking,2018,Not Available,Private,"Red Paw Packs is owned and operated by Matthew Evans, who handcrafts each pack in Boulder, Colorado. ([redpawpacks.com](https://redpawpacks.com/about/))",Independent,"## [Red Paw Packs](https://www.google.com/maps/search/Red+Paw+Packs+Boulder%2C+CO)


Boulder, Colorado. ([redpawpacks.com](https://redpawpacks.com/))","Red Paw Packs is a one-person operation based in Boulder, Colorado, specializing in handcrafted ultralight hiking packs. Each pack is made by hand using industrial sewing machines, with customizable options available. ([redpawpacks.com](https://redpawpacks.com/))",Red Paw Packs does not have publicly available information regarding environmental or sustainability policies.,"Red Paw Packs is a Boulder, Colorado-based company specializing in handcrafted ultralight hiking packs. As of July 2025, there is no publicly available information regarding any acquisitions involving Red Paw Packs."
Red Spruce Gear,"Red Spruce Gear specializes in ultralight performance headwear for hikers and outdoor enthusiasts, focusing on minimalist, high-performance beanies. ([garagegrowngear.com](https://www.garagegrowngear.com/en-is/blogs/brand-bios/red-spruce-gear-how-a-hike-turned-into-a-cottage-brand))",Hiking,2023,Not Available,,No information was found regarding the ownership details of Red Spruce Gear in the hiking industry.,Independent,,"Red Spruce Gear, founded by Appalachian Trail section-hiker Steven Peters, specializes in ultralight beanies made from Polartec® Alpha™ Direct fabric. The company is based in Marietta, Georgia, USA. ([garagegrowngear.com](https://www.garagegrowngear.com/en-is/blogs/brand-bios/red-spruce-gear-how-a-hike-turned-into-a-cottage-brand))",,No information found regarding the acquisition history of Red Spruce Gear in the hiking industry.
Rex Creations,"Rex Creations specializes in ultralight airpad inflators, known as Pad-pals, designed for the ultralight hiking community. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/brand-bios/rex-creations-ultralight-air-pumps-designed-off-grid-in-the-desert))",Hiking,2024,Not Available,,"Rex Creations is owned by Tyler Reeves, who founded the company in June 2024. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/brand-bios/rex-creations-ultralight-air-pumps-designed-off-grid-in-the-desert))",Independent,"Crestline, California","Rex Creations, founded by Tyler Reeves, manufactures ultralight sleeping pad inflators in a 20-foot off-grid trailer located in Southern California's high desert. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/brand-bios/rex-creations-ultralight-air-pumps-designed-off-grid-in-the-desert))",,"Rex Creations, founded by Tyler Reeves, began as a side project creating ultralight airpad inflators and officially became a company in June 2024. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/brand-bios/rex-creations-ultralight-air-pumps-designed-off-grid-in-the-desert)) There is no information available regarding any acquisitions involving Rex Creations."
Ridge Merino,"Ridge Merino specializes in developing premium Merino wool apparel and accessories designed for both everyday use and rigorous outdoor activities, including hiking. ([biz.prlog.org](https://biz.prlog.org/ridgemerino/))",Hiking,2014,Not Available,Private - Family Owned,"Ridge Merino is a privately owned, family-operated business founded in 2014 by Jeff and Susan Russell. ([ridgemerino.com](https://www.ridgemerino.com/pages/story))","Ridge Apparel, Inc.","## [Ridge Merino Headquarters](https://www.google.com/maps/search/4+Alpine+Circle%2C+Mammoth+Lakes%2C+CA+93546)


Mammoth Lakes, California","Ridge Merino sources its Merino wool from Australia and New Zealand, with manufacturing conducted in Asia due to proximity to these sources. ([usmanufacturingreport.com](https://usmanufacturingreport.com/article/ridge-merino/))","Ridge Merino is committed to sustainability through several initiatives:

- They are a member of 1% for the Planet, donating at least 1% of annual sales to environmental nonprofits. ([ridgemerino.com](https://www.ridgemerino.com/blogs/news/an-update-on-green-business-practices))

- They use natural, renewable, and biodegradable materials like Merino wool and TENCEL™, sourced from sustainable plantations. ([ridgemerino.com](https://www.ridgemerino.com/blogs/news/an-update-on-green-business-practices))

- They achieved Green Business Certification from the California Green Business Network, demonstrating sustainable and environmentally-friendly practices. ([outdoorsportswire.com](https://www.outdoorsportswire.com/ridge-merino-receives-california-green-business-certification/))

- They offer carbon-offset shipping options to neutralize emissions from product deliveries. ([ridgemerino.com](https://www.ridgemerino.com/blogs/news/an-update-on-green-business-practices))","Ridge Merino, founded in 2014 by Jeff and Susan Russell, remains a privately owned company with no public records indicating any acquisitions or mergers. ([usmanufacturingreport.com](https://usmanufacturingreport.com/article/ridge-merino/))"
RightOnTrek,"RightOnTrek operates in the outdoor recreation industry, offering services such as backpacking gear rentals, trip planning tools, and adventure meals to make wilderness experiences accessible to a wide range of adventurers. ([visitmt.com](https://visitmt.com/listing/rightontrek))",Hiking,2018,Not Available,Private,"RightOnTrek, Inc. is a privately held company founded by Victoria Livschitz, who serves as the Chief Executive Officer. ([dnb.com](https://www.dnb.com/business-directory/company-profiles.rightontrek_inc.c66e2a3d516cabed201d019f3e8bb1a7.html))",Independent,"## [RightOnTrek Headquarters](https://www.google.com/maps/search/2593+US+Highway+2+E%2C+Kalispell%2C+MT+59901)


Kalispell, Montana","RightOnTrek's meals are crafted in small batches in Montana, emphasizing quality ingredients and dietary variety. ([rightontrek.tenereteam.com](https://rightontrek.tenereteam.com/)) The company is headquartered at 2593 US Highway 2 E, Suite 3, Kalispell, MT 59901. ([dnb.com](https://www.dnb.com/business-directory/company-profiles.rightontrek_inc.c66e2a3d516cabed201d019f3e8bb1a7.html))","RightOnTrek demonstrates its commitment to environmental sustainability by partnering with Leave No Trace and 1% for the Planet, and by adopting 100% compostable packaging for all its backcountry meal products. ([lnt.org](https://lnt.org/leave-no-trace-community-partner-spotlight-rightontrek/)) Additionally, the company utilizes multi-layer packaging made from 100% bio-based materials sourced from tree pulp, eliminating the use of plastic. ([californianewswire.com](https://californianewswire.com/rightontrek-eco-friendly-product-design-is-finalist-for-outdoor-retailer-innovation-awards/))",No information is available regarding any acquisitions involving RightOnTrek.
Rite in the Rain,"Rite in the Rain produces waterproof notebooks and writing products designed for outdoor activities, including hiking. Their products are categorized under hiking and camping essentials by retailers such as Backcountry.com and REI. ([backcountry.com](https://www.backcountry.com/brand/rite-in-the-rain/cat/hiking-camping-essentials), [rei.com](https://www.rei.com/b/rite-in-the-rain))",Hiking,1916,Not Available,Private - Private Equity,"Rite in the Rain is a privately held company based in Tacoma, Washington, known for its all-weather writing products. Founded in 1916 by Jerry Darling, the company was later managed by Scott and Todd Silver, who purchased full ownership in 1996. ([thedyojo.com](https://www.thedyojo.com/blog/the-secret-sauce-of-building-a-sustainable-local-business)) As of 2024, Karl Mejia serves as the CEO. ([pitchbook.com](https://pitchbook.com/profiles/company/57982-96))","JL Darling, LLC","Tacoma, Washington","Rite in the Rain's main manufacturing facility is located at 2614 Pacific Highway E, Tacoma, Washington 98424, USA. ([dealers.riteintherain.com](https://dealers.riteintherain.com/factory))","Rite in the Rain sources paper from FSC-certified suppliers, uses a water-based coating process with steam as the only byproduct, and ensures all products are fully recyclable. ([welkit.com](https://welkit.com/en/blogs/eclairage-observation/le-papier-etanche-est-il-ecologique))",
RovyVon,"RovyVon specializes in manufacturing compact, high-performance flashlights and everyday carry (EDC) gear, including keychain lights and rechargeable lanterns, designed for outdoor activities such as hiking and camping. ([ubuy.co.in](https://www.ubuy.co.in/brand/rovyvon))",Hiking,2018,Not Available,Private,"RovyVon is a brand owned by Shenzhen Runfree Equipment Technology Co., Limited, an innovation-driven company based in Shenzhen, China, specializing in outdoor gear and equipment. ([shine.lighting](https://www.shine.lighting/rovyvon/))","Shenzhen Runfree Equipment Technology Co., Limited","Shenzhen, China","RovyVon's main manufacturing is located in Shenzhen, Guangdong, China. ([rovyvon.com](https://www.rovyvon.com/pages/contact))","After searching, no information was found regarding RovyVon's environmental and sustainability policies in hiking.","RovyVon is a brand owned by Shenzhen Runfree Equipment Technology Co., Limited, based in Shenzhen, Guangdong, China. There is no publicly available information indicating that RovyVon has been involved in any acquisitions within the hiking industry."
Salsa Queen,"Salsa Queen offers freeze-dried salsas ideal for hiking, camping, and outdoor activities, available in Bass Pro Shops and Cabela's locations nationwide. ([specialtyfood.com](https://www.specialtyfood.com/news-media/news-features/member-press-releases/salsa-queen-expands-freeze-dried-salsa-into-all-153-bass-pro-shops-and-cabela-s-locations/))These salsas require no refrigeration, have a three-year shelf life, and can be rehydrated by adding water, making them convenient for on-the-go adventures. ([salsaqueen.com](https://www.salsaqueen.com/pages/outdoor))",Hiking,2014,Not Available,,"Salsa Queen is a family-owned business founded by Maharba Zapata, who legally changed her name to SalsaQueen upon obtaining U.S. citizenship. The company is certified 100% woman- and minority-owned. ([specialtyfood.com](https://www.specialtyfood.com/news-media/news-features/member-press-releases/salsa-queen-expands-freeze-dried-salsa-into-all-153-bass-pro-shops-and-cabela-s-locations/))",Independent,"## [Salsa Queen](https://www.google.com/maps/search/Salsa+Queen%2C+West+Valley+City%2C+Utah)


Salsa Queen's headquarters is located in West Valley City, Utah. ([salsaqueen.com](https://www.salsaqueen.com/pages/contact-us))","Salsa Queen, based in Salt Lake City, Utah, produces freeze-dried salsas ideal for hiking and outdoor activities. ([topshelfbackpacking.com](https://www.topshelfbackpacking.com/backpackingfoodreviews/salsa-queen-zesty-cantina-freeze-dried-salsa))","Salsa Cycles is dedicated to sustainability and environmental responsibility, actively seeking to minimize its carbon footprint through initiatives like using recycled materials in manufacturing and promoting eco-friendly practices among suppliers. The brand also supports organizations focused on trail conservation and environmental advocacy, demonstrating its commitment to preserving natural landscapes for cyclists. ([xjd.com](https://www.xjd.com/t-history-of-salsa-mountain-bikes/))",Salsa Queen has not been acquired by any company; it remains a 100% woman- and minority-owned business. ([specialtyfood.com](https://www.specialtyfood.com/news-media/news-features/member-press-releases/salsa-queen-expands-freeze-dried-salsa-into-all-153-bass-pro-shops-and-cabela-s-locations/))
Salty Britches,"Salty Britches specializes in skin barrier ointments designed to prevent chafing and irritation during activities like hiking, running, and swimming. ([fleetfeet.com](https://www.fleetfeet.com/products/salty-britches-chafing-ointment))",Hiking,2017,Not Available,Private - Family Owned,"Salty Britches is owned by AWC Tuck Co., LLC, a limited liability company based in Iva, South Carolina. The company was founded by Amy Tucker, who serves as its CEO. ([getsaltybritches.com](https://getsaltybritches.com/pages/our-story))",Independent,"Iva, South Carolina","## [Salty Britches](https://www.google.com/maps/search/Salty+Britches)


Salty Britches is headquartered at 112 McCalla Dr, Iva, SC 29655, USA. ([mapquest.com](https://www.mapquest.com/us/south-carolina/salty-britches-430769278)) Specific information about their main manufacturing location is not publicly available.","Salty Britches utilizes tubes made from 50% Post Consumer Resin (PCR), sourced from recycled single-use packaging like milk packs, to reduce carbon footprint and promote sustainability. ([getsaltybritches.com](https://getsaltybritches.com/products/chafing-ointment))","Salty Britches, founded in 2018, is owned by AWC Tuck Company, LLC, a limited liability company based in Iva, South Carolina. ([january2024.smallworldlabs.com](https://january2024.smallworldlabs.com/co/getsaltybritches-com)) There is no publicly available information regarding any acquisitions involving Salty Britches."
Samaya Equipment,"Samaya Equipment specializes in manufacturing and selling ultra-light, high-performance tents designed for alpine expeditions, mountaineering, and minimalist backcountry adventures. ([blackovis.com](https://www.blackovis.com/brands/samaya))",Camping,2018,Not Available,Private - Venture Backed,"Samaya Equipment, founded in 2018 and based in Annecy, France, is a privately held company specializing in ultra-light and high-performance tents. The company has received venture capital backing, including a €1.5 million investment in 2021 from French angel investors Jean-Marc Pambet and Benoît David. ([pitchbook.com](https://pitchbook.com/profiles/company/460024-84), [nordic9.com](https://nordic9.com/news/samaya-to-raise-15-million-from-angel-investors-from-france/))",Independent,"Annecy-le-Vieux, Auvergne-Rhône-Alpes, France","Samaya Equipment, founded in 2018, is based in Annecy, Haute-Savoie, France, where it designs and prototypes its ultra-light, high-performance tents. The company operates a 1,000-square-meter facility called ""Samaya High Camp,"" dedicated to research, development, and small-scale production. ([wildcamping.store](https://wildcamping.store/blogs/samaya/samaya)) While some components are manufactured in China, ([hillcrestgems.com](https://hillcrestgems.com/product/opti1-5-footprint-by-samaya-equipment/)) the primary manufacturing and assembly occur in France.","Samaya Equipment integrates sustainability into its products by using bio-based Dyneema® Composite Fabric, reducing the carbon footprint of items like the ULTRA35 backpack. The company also repurposes production scraps into accessories and offers a five-year extended warranty with lifetime repair services to promote product longevity. ([ispo.com](https://www.ispo.com/en/promotion/der-neue-ultra35-rucksack-von-samaya-erhalt-den-ispo-award-2022))","Samaya Equipment, founded in 2018 and based in Annecy, France, specializes in ultra-light and high-performance tents. As of 2024, the company remains privately held with no publicly available information regarding any acquisitions. ([pitchbook.com](https://pitchbook.com/profiles/company/460024-84))"
Sambob,"Sambob specializes in customizable, colorful fleece apparel designed for outdoor activities, including hiking. ([sambob.biz](https://sambob.biz/pages/about-1?srsltid=AfmBOoq79-TiOlhvtcQD9CnWL_UB7ggHufnn-_rHRNtO0GdgX4zTI3fJ&utm_source=openai)) Their products, such as microgrid fleece hoodies and joggers, are tailored to provide comfort and functionality on the trail. ([southwesthikes.com](https://www.southwesthikes.com/ultimate-guide-to-the-best-custom-backpacking-hiking-gear-top-companies-must-have-picks/))",Hiking,2021,Not Available,Private,"Sambob is owned and operated by Sam Roberts, an avid hiker, sewist, and field biologist based in Portland, Maine. ([garagegrowngear.com](https://www.garagegrowngear.com/en-my/blogs/magazine/top-new-outdoor-brands-of-2021))",Independent,"Portland, Maine.","Sambob, founded by Sam Roberts in early 2021, is a one-person operation based in Portland, Maine, specializing in custom, color-blocked fleece hoodies designed to make outdoor clothing more inclusive and personalized. ([garagegrowngear.com](https://www.garagegrowngear.com/en-my/blogs/magazine/top-new-outdoor-brands-of-2021))",,"As of July 2025, there is no publicly available information indicating that Sambob has been involved in any acquisitions. The company, founded by Sam Roberts in early 2021, remains a small, independent business specializing in custom outdoor apparel. ([citylifestyle.com](https://citylifestyle.com/articles/worn-wild))"
Sawyer,"Sawyer Products specializes in manufacturing outdoor protection gear, including water filtration systems, insect repellents, sunscreens, and first aid kits, catering to activities such as camping, hiking, and travel. ([sawyer.com](https://www.sawyer.com/about))",Camping,1984,Not Available,Private - Family Owned,"Sawyer Products, Inc., established in 1984 and based in Safety Harbor, Florida, is a privately held company specializing in outdoor protection products. ([sawyer.com](https://www.sawyer.com/about)) Specific ownership details are not publicly disclosed.",Independent,"## [Sawyer Products Headquarters](https://www.google.com/maps/search/605+7th+Ave+N%2C+Safety+Harbor%2C+FL+34695)


Safety Harbor, Florida","Sawyer Products manufactures its camping gear in Safety Harbor, Florida. ([americanoutdoorgearhub.com](https://www.americanoutdoorgearhub.com/the-goods-directory/1321/sawyer/))","Sawyer partners with Leave No Trace to promote responsible outdoor practices and offers guidance on minimizing carbon footprints during outdoor activities. ([sawyer.com](https://www.sawyer.com/blog/leave-no-trace-partnership-2), [sawyer.com](https://www.sawyer.com/blog/minimizing-your-carbon-footprint-while-exploring-the-outdoors))","As of July 18, 2025, there is no publicly available information regarding any acquisitions involving Sawyer Products, the outdoor gear company."
Sea to Summit,"Sea to Summit operates in the Sporting Goods Manufacturing industry, specializing in designing and producing outdoor equipment for activities such as camping, hiking, and backpacking. ([leadiq.com](https://leadiq.com/c/sea-to-summit/5d3f0f4ff45f783eced09d77))",Camping,1991,"$151 M revenue (2022, est.)&#8203;:contentReference[oaicite:41]{index=41}",Private (Five V Capital majority stake in 2022),"As of May 2022, Australian private equity firm Five V Capital became the majority shareholder of Sea to Summit, with founder Roland Tyson retaining a minority stake and continuing to advise on product design and marketing. ([outsideonline.com](https://www.outsideonline.com/business-journal/brands/sea-to-summit-acquired-by-australian-private-equity-firm))",Five V Capital,"Perth (Rivervale), Western Australia",Asia (offices in China),"Sea to Summit is committed to environmental sustainability by using traceable recycled materials, bluesign®-approved fabrics, and transitioning to C0 non-PFC water-repellent finishes. They also estimate their Scope 1, 2, and 3 carbon emissions to guide actions in reducing their environmental footprint. ([seatosummit.com.au](https://seatosummit.com.au/pages/sustainability))","In 2020, Sea to Summit acquired its long-time North American distributor, integrating the team into its global operations. ([outdoorsportswire.com](https://www.outdoorsportswire.com/sea-to-summit-acquires-north-american-distributor/)) In 2022, Australian private equity firm Five V Capital became the majority shareholder of Sea to Summit. ([outsideonline.com](https://www.outsideonline.com/business-journal/brands/sea-to-summit-acquired-by-australian-private-equity-firm)) In 2024, Sea to Summit acquired Cirdan AS, its distributor in Norway, Sweden, and Finland, to strengthen its presence in the Nordic region. ([outdoorsportswire.com](https://www.outdoorsportswire.com/unlocking-new-adventures-sea-to-summit-acquires-cirdan-strengthens-nordic-presence/))"
Seattle Gummy Company,"Seattle Gummy Company produces HydraFuel Hydration Gummies, designed to replenish electrolytes and support hydration during activities like hiking. ([southwesthikes.com](https://www.southwesthikes.com/review-hydrafuel-hydration-gummies-by-seattle-gummy-company/))",Hiking,2016,Not Available,Private,"Seattle Gummy Company is a privately held corporation founded in 2016 by Dr. Connie Wan, who serves as the CEO. ([seattlegummy.com](https://seattlegummy.com/story/)) Specific details about the company's ownership structure are not publicly disclosed.",Independent,"## [Seattle Gummy Company](https://www.google.com/maps/search/Seattle+Gummy+Company)


Renton, Washington","Seattle Gummy Company's main manufacturing facility is located at 421 SW 41st St, Renton, WA 98057. ([mapquest.com](https://www.mapquest.com/us/washington/seattle-gummy-company-716386683))","Seattle Gummy Company sources ingredients primarily from the U.S., with some specialty items from Japan and Germany, prioritizing ethical and sustainable suppliers known for quality and reliability. ([metropolitan-market.com](https://metropolitan-market.com/blog/seattle-gummy-company/))","Seattle Gummy Company (SGC) has not been involved in any acquisitions. In 2018, SGC received an investment from a Hong Kong-based private equity fund during its Series A financing. ([seattlegummy.com](https://seattlegummy.com/blog/private-equity-fund-joined-seattle-gummy-company-as-a-series-a1-investor/))"
Senchi Designs,"Senchi Designs specializes in small-batch Polartec clothing, offering ultralight fleece garments tailored for outdoor activities like hiking. ([sectionhiker.com](https://sectionhiker.com/cottage-gear-manufacturer-directory/))",Hiking,2020,Not Available,Private,"Senchi Designs, LLC is a privately owned company based in Portland, Oregon, specializing in ultralight performance apparel for outdoor activities. ([signalhire.com](https://www.signalhire.com/companies/senchi-designs)) The company was founded in 2020 by Ryan Windus, who serves as its CEO and Creative Director. ([datanyze.com](https://www.datanyze.com/companies/senchi-designs/1290909269))",Independent,"Portland, Oregon","Senchi Designs manufactures its ultralight performance apparel in Portland, Oregon, USA. ([polartec.com](https://www.polartec.com/news/featured-partner-senchi-designs-2))",,"As of July 18, 2025, there is no publicly available information regarding any acquisitions involving Senchi Designs. The company, founded in 2020 and headquartered in Portland, Oregon, specializes in ultralight performance apparel for outdoor activities. ([signalhire.com](https://www.signalhire.com/companies/senchi-designs))"
Shamma Sandals,"Shamma Sandals specializes in handcrafted minimalist sandals designed for activities like hiking, running, and climbing. Their products, such as the Mountain Goats and TrailStars, are built for rugged terrain and offer options for various outdoor adventures. ([bootstrapadventure.com](https://bootstrapadventure.com/product/mountain-goats-by-shamma-sandals/), [terradrift.com](https://terradrift.com/the-6-best-hiking-sandals-of-2022/))",Hiking,2013,Not Available,Private - Family Owned,"Shamma Sandals is a family-owned and operated business founded in 2013 by Josh Stiles in Santa Cruz, California. ([allamerican.org](https://allamerican.org/brands/shamma-sandals/))",Independent,"## [Shamma Sandals](https://www.google.com/maps/search/Shamma+Sandals%2C+Santa+Cruz%2C+CA)


Santa Cruz, California","Shamma Sandals handcrafts their minimalist hiking sandals in a small workshop among the redwoods of Santa Cruz, California, using primarily American-sourced materials. ([allamerican.org](https://allamerican.org/brands/shamma-sandals/))","Shamma Sandals utilizes premium leathers that are often byproducts of the food industry, reducing waste and maximizing resource use. They also employ recycled and recyclable materials for packaging and implement lean manufacturing practices to minimize waste. ([comparedjunky.com](https://comparedjunky.com/earth-runners-vs-shamma-sandals-2/))","Shamma Sandals, founded in 2013 in Santa Cruz, California, is a family-owned business specializing in minimalist sandals for activities like running and hiking. There is no publicly available information indicating that Shamma Sandals has been involved in any acquisitions."
SilverAnt,"SilverAnt specializes in manufacturing ultralight titanium outdoor gear, including cookware, cutlery, water bottles, and hip flasks, designed for activities such as hiking, camping, and backpacking. ([silverantoutdoors.com](https://silverantoutdoors.com/))",Hiking,2018,Not Available,Private - Family Owned,"SilverAnt is a family and friend-owned, multicultural titanium outdoor company. ([silverantoutdoors.com](https://silverantoutdoors.com/)) The trademark is registered to Dongguan Shiyu Outdoor Products Co., Ltd., a limited liability company based in Dongguan, China. ([trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/88042187/SILVERANT))",Independent,,"SilverAnt Outdoors manufactures its titanium hiking gear in its own ISO:9001-2015 certified facility in China, sourcing titanium from Sichuan Province. ([silverantoutdoors.com](https://silverantoutdoors.com/pages/titanium))","SilverAnt Outdoors is committed to sustainability by producing durable, high-quality titanium products designed for a lifetime of adventures. ([silverantoutdoors.com](https://silverantoutdoors.com/pages/sustainability-responsibility)) They actively recycle titanium waste, use recycled cardboard for packaging, and partner with Greenspark to plant trees, sequester carbon, and rescue ocean-bound plastic for every order placed. ([getgreenspark.com](https://www.getgreenspark.com/case-studies/protecting-nature-boosting-profits-meeting-customer-demands-through-environmental-impact))",
Six Moon Designs,"Six Moon Designs specializes in ultralight backpacking gear, including shelters, backpacks, and accessories, tailored for long-distance hikers. ([backpackers.com](https://backpackers.com/brand/six-moon-designs/))",Hiking,2002,Not Available,Private,"Six Moon Designs, founded in 2002 by Ron Moak, is a privately held company based in Beaverton, Oregon. ([sgbonline.com](https://sgbonline.com/six-moon-designs-celebrates-20-years-in-the-outdoor-industry/)) Ron Moak serves as the owner and president. ([bbb.org](https://www.bbb.org/us/or/beaverton/profile/camping-equipment/six-moon-designs-1296-22744952))",Independent,"## [Six Moon Designs](https://www.google.com/maps/search/Six+Moon+Designs+Beaverton%2C+Oregon)


Beaverton, Oregon","Six Moon Designs, based in Beaverton, Oregon, manufactures its products in China. ([theradavist.com](https://theradavist.com/six-moon-designs-lunar-solo-review/))","Six Moon Designs is committed to sustainability by utilizing recycled materials, reducing plastic packaging with a goal to eliminate single-use plastics by 2030, and eliminating all PFAS chemicals from their product line by 2025. Their headquarters are powered by 100% renewable energy, and they encourage customers to repair gear to extend its lifespan. ([sixmoondesigns.com](https://www.sixmoondesigns.com/pages/sustainability?srsltid=AfmBOorVkdJqA1jxgexAT7-9GNrI9NDhaz1RuMfxiPSP2FI-t_XiFjd1&utm_source=openai))","As of July 18, 2025, there is no publicly available information indicating that Six Moon Designs has been involved in any acquisitions. The company, founded by Ron Moak in 2002, remains independently owned and operated. ([sgbonline.com](https://sgbonline.com/pressrelease/six-moon-designs-celebrates-20-years-in-the-outdoor-industry/))"
